volantino,insegna,categoria,prodotto,formato,quantita,unita,prezzo,prezzo_unita,dal,al,note
carriper20,Carrefour Iper,Manzo,Costata di bovino adulto – da 3 kg in su,"al kg, almeno 3 kg",1,al kg,11.90,11.900,2026-08-20,2026-09-03,"Sconto a quantità: sotto i 3 kg costa 13,90 al kg."
eurospin,Eurospin,Biscotti,Biscotti Digestive con avena e cioccolato,425 g,0.425,al kg,1.19,2.800,2026-08-24,2026-09-06,"Prima 1,59."
eurospin,Eurospin,Biscotti,Frollini all'uovo,700 g,0.7,al kg,1.49,2.129,2026-08-24,2026-09-06,"Prima 1,99."
eurospin,Eurospin,Biscotti,Frollini con panna,700 g,0.7,al kg,1.39,1.986,2026-08-24,2026-09-06,"Prima 1,89. Senza olio di palma."
eurospin,Eurospin,Caffè,Capsule caffè espresso/cortado – Don Jerez,"100 g, compatibili Dolce Gusto",0.1,al kg,2.59,25.900,2026-08-24,2026-09-06,"Prima 3,59. Sono capsule: al chilo costano molto più del macinato."
eurospin,Eurospin,Cioccolato,Crema alla nocciola,750 g,0.75,al kg,2.79,3.720,2026-08-24,2026-09-06,"Prima 3,59. È una crema da spalmare, non una tavoletta."
eurospin,Eurospin,Manzo,Fettine sottili di bovino adulto,al kg,1,al kg,17.99,17.990,2026-08-24,2026-09-06,
eurospin,Eurospin,Manzo,Macinato per ragù di bovino adulto,"Confezione Famiglia, al kg",1,al kg,8.99,8.990,2026-08-24,2026-09-06,"È la confezione grande, il prezzo è già al chilo."
eurospin,Eurospin,Marmellata,Confettura extra albicocca o ciliegia,370 g,0.37,al kg,1.29,3.486,2026-08-24,2026-09-06,"Prima 1,69."
eurospin,Eurospin,Pollo,Petto di pollo a fette,"Confezione Famiglia, al kg",1,al kg,7.99,7.990,2026-08-24,2026-09-06,
eurospin,Eurospin,Preparati,Cordon bleu di pollo e tacchino,490 g,0.49,al kg,1.99,4.061,2026-08-24,2026-09-06,"Il volantino stampa 4,06 al kg."
eurospin,Eurospin,Preparati,Maxi hamburger di scottona,200 g,0.2,al kg,2.49,12.450,2026-08-24,2026-09-06,"Il volantino stampa 12,45 al kg."
eurospin,Eurospin,Suino,Braciole di coppa di suino,al kg,1,al kg,6.99,6.990,2026-08-24,2026-09-06,
eurospin,Eurospin,Tonno,Filetti di tonno all'olio di oliva pinna gialla – Ondina,260 g,0.26,al kg,2.99,11.500,2026-08-24,2026-09-06,"Prima 4,29. Barattolo di vetro."
md,MD,Carta igienica,4 rotoloni carta igienica – Regina,"4 rotoloni, dichiarati pari a 12 rotoli",12,al rotolo,2.89,0.241,2026-08-25,2026-09-06,"Prima 3,29. Il conto al rotolo usa i 12 dichiarati sul pacco: sui 4 rotoloni veri fa 0,72 l'uno."
md,MD,Latte,Valigetta latte parzialmente scremato – Malga Paradiso,6 litri (6 × 1 l),6,al litro,4.19,0.698,2026-08-25,2026-09-06,"Prima 5,10. Il volantino stampa 0,70 al litro."
